City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Havelock,US,2022-02-03 03:37:23,34.8791,-76.9013,52.99,88,79,1.99
216,Asau,RO,2022-02-03 03:40:23,46.4333,26.4,27.52,86,100,4.03
217,Gazli,UZ,2022-02-03 03:40:23,40.1333,63.45,39.47,62,0,9.4
218,Libreville,GA,2022-02-03 03:40:24,0.3925,9.4537,79.61,79,100,5.75
219,Burns Lake,CA,2022-02-03 03:40:24,54.2331,-125.7533,6.22,96,94,2.44
220,Hasaki,JP,2022-02-03 03:40:24,35.7333,140.8333,54.28,37,100,6.96
221,Saint-Philippe,RE,2022-02-03 03:40:25,-21.3585,55.7679,81.99,94,100,37.11
222,Japura,ID,2022-02-03 03:40:25,-0.3167,102.35,85.53,67,90,3.09
223,Aberdeen,GB,2022-02-03 03:40:25,57.1437,-2.0981,49.5,79,100,10.36
224,Lokosovo,RU,2022-02-03 03:40:25,61.1333,74.8167,19.42,92,99,11.99
225,Anchorage,US,2022-02-03 03:38:46,61.2181,-149.9003,22.66,84,0,3.0
226,Te Anau,NZ,2022-02-03 03:40:26,-45.4167,167.7167,61.61,73,100,4.38
227,Tacuarembo,UY,2022-02-03 03:40:26,-31.7333,-55.9833,71.65,49,74,5.26
228,Blackfoot,US,2022-02-03 03:40:27,43.1905,-112.345,10.18,93,89,3.49
229,Margate,GB,2022-02-03 03:40:27,51.3813,1.3862,47.75,81,100,3.0
230,Davila,PH,2022-02-03 03:40:27,18.4726,120.5763,82.38,66,2,5.64
231,Mar Del Plata,AR,2022-02-03 03:37:17,-38.0023,-57.5575,73.09,85,100,7.0
232,Burgersdorp,ZA,2022-02-03 03:40:28,-30.9977,26.3286,64.81,91,48,3.8
233,Farah,AF,2022-02-03 03:40:28,32.5,62.5,39.29,46,0,5.66
234,La Trinidad,PH,2022-02-03 03:40:28,16.455,120.5875,74.84,48,3,4.7
235,Rocha,UY,2022-02-03 03:40:29,-34.4833,-54.3333,65.73,97,27,6.98
236,Nome,US,2022-02-03 03:40:29,64.5011,-165.4064,8.67,61,0,29.93
237,Heihe,CN,2022-02-03 03:40:29,50.2441,127.4902,5.58,72,15,11.92
238,Roald,NO,2022-02-03 03:40:30,62.5833,6.1333,35.01,80,100,18.41
239,Kirakira,SB,2022-02-03 03:40:30,-10.4544,161.9205,81.99,82,100,8.63
240,Wagga Wagga,AU,2022-02-03 03:40:30,-35.1167,147.3667,77.59,33,1,12.66
241,Cururupu,BR,2022-02-03 03:40:30,-1.8283,-44.8683,76.37,89,100,4.36
242,Marzuq,YE,2022-02-03 03:40:31,14.4,46.4667,59.77,37,16,2.57
243,Alexandria,EG,2022-02-03 03:40:31,31.2156,29.9553,46.36,87,40,4.61
244,Ambilobe,MG,2022-02-03 03:40:31,-13.2,49.05,75.33,91,98,0.89
245,Bara,NG,2022-02-03 03:40:32,10.3744,10.7288,60.8,20,40,6.38
246,Vurnary,RU,2022-02-03 03:40:32,55.4904,46.9648,14.0,98,100,3.11
247,Korla,CN,2022-02-03 03:40:32,41.7597,86.1469,27.28,43,54,5.7
248,Sompeta,IN,2022-02-03 03:40:33,18.9333,84.6,77.29,64,23,7.67
249,Bayan,CN,2022-02-03 03:40:33,46.0833,127.4,5.9,83,84,9.22
250,Carutapera,BR,2022-02-03 03:40:33,-1.195,-46.02,76.86,90,100,7.27
251,Yerbogachen,RU,2022-02-03 03:40:34,61.2767,108.0108,1.35,94,100,6.49
252,Tongliao,CN,2022-02-03 03:40:34,43.6125,122.2653,11.16,70,4,11.27
253,Sobolevo,RU,2022-02-03 03:40:34,54.4299,31.8996,24.06,97,100,3.62
254,Kaitangata,NZ,2022-02-03 03:40:35,-46.2817,169.8464,54.72,92,100,4.68
255,Faanui,PF,2022-02-03 03:40:35,-16.4833,-151.75,81.41,77,13,19.57
256,Emerald,AU,2022-02-03 03:40:35,-23.5333,148.1667,75.34,100,75,11.5
257,Mabaruma,GY,2022-02-03 03:40:36,8.2,-59.7833,71.42,96,1,2.42
258,Kayseri,TR,2022-02-03 03:38:59,38.737,35.4968,44.62,53,75,23.02
259,Kedrovyy,RU,2022-02-03 03:38:21,56.1667,91.8167,-10.79,88,89,4.12
260,Price,US,2022-02-03 03:40:36,39.5994,-110.8107,20.46,38,0,13.8
261,Thompson,CA,2022-02-03 03:40:37,55.7435,-97.8558,-14.64,76,0,11.5
262,Manicore,BR,2022-02-03 03:40:37,-5.8092,-61.3003,72.91,99,100,1.05
263,Warrnambool,AU,2022-02-03 03:40:37,-38.3833,142.4833,64.81,66,100,17.47
264,Minggang,CN,2022-02-03 03:40:37,32.4586,114.0486,42.03,45,100,3.78
265,Tuatapere,NZ,2022-02-03 03:40:38,-46.1333,167.6833,57.81,63,100,8.84
266,Iqaluit,CA,2022-02-03 03:40:38,63.7506,-68.5145,10.13,85,75,11.5
267,Yuancheng,CN,2022-02-03 03:40:38,36.652,107.7896,25.74,70,94,3.96
268,Bassila,BJ,2022-02-03 03:40:39,9.0081,1.6654,67.01,15,68,4.61
269,Jiehu,CN,2022-02-03 03:40:39,35.5428,118.455,41.23,28,28,1.12
270,Sola,VU,2022-02-03 03:40:39,-13.8833,167.55,81.84,75,100,14.92
271,Bengkulu,ID,2022-02-03 03:40:40,-3.8004,102.2655,83.35,70,70,6.33
272,Rundu,NA,2022-02-03 03:40:40,-17.9333,19.7667,65.12,67,55,1.63
273,Sao Filipe,CV,2022-02-03 03:40:40,14.8961,-24.4956,72.97,77,0,12.97
274,High Rock,BS,2022-02-03 03:40:41,26.6208,-78.2833,69.82,69,24,17.11
275,Abu Dhabi,AE,2022-02-03 03:37:20,24.4667,54.3667,63.97,73,0,2.3
276,Mchinji,MW,2022-02-03 03:41:41,-13.7984,32.8802,61.93,97,32,2.84
277,Santarem,BR,2022-02-03 03:41:42,-2.4431,-54.7083,80.73,89,40,6.91
278,Omboue,GA,2022-02-03 03:41:42,-1.5746,9.2618,77.43,85,100,5.28
279,Safaga,EG,2022-02-03 03:41:42,26.7292,33.9365,63.59,38,14,6.58
280,Talnakh,RU,2022-02-03 03:41:43,69.4865,88.3972,-10.86,98,100,6.85
281,Camacha,PT,2022-02-03 03:41:43,33.0833,-16.3333,63.54,94,40,5.75
282,Chanal,MX,2022-02-03 03:41:43,16.7167,-92.4,63.03,87,65,2.37
283,Jiexiu,CN,2022-02-03 03:41:43,37.0244,111.9125,30.56,32,77,3.74
284,Ucluelet,CA,2022-02-03 03:41:44,48.9329,-125.5528,42.1,92,100,4.68
285,Barrow,US,2022-02-03 03:41:44,71.2906,-156.7887,-21.98,76,75,0.0
286,Santa Rosa,PH,2022-02-03 03:41:08,14.3122,121.1114,84.11,80,86,13.35
287,Hambantota,LK,2022-02-03 03:41:45,6.1241,81.1185,80.94,74,20,4.61
288,Lompoc,US,2022-02-03 03:40:25,34.6391,-120.4579,55.71,50,0,6.91
289,Arraial Do Cabo,BR,2022-02-03 03:41:45,-22.9661,-42.0278,75.0,88,99,4.76
290,Chimay,BE,2022-02-03 03:41:45,50.0486,4.3171,43.99,93,100,7.92
